userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language
5476338a7161137f8934edfa1cd710016683bdc22980fd5a75568a0e49d556a1,5476338a7161137f8934edfa1cd710016683bdc22980fd5a75568a0e49d556a1,5476338a7161137f8934edfa1cd710016683bdc22980fd5a75568a0e49d556a1,Брянск,Редактор,,206,207,2014-03-31,en
a62f376e362a8fe9581fc62812c4977a99053cd46ad2d6d2334a8d85d0cece4d,a62f376e362a8fe9581fc62812c4977a99053cd46ad2d6d2334a8d85d0cece4d,a62f376e362a8fe9581fc62812c4977a99053cd46ad2d6d2334a8d85d0cece4d,Krasnoyarsk,,,2,2,2015-03-28,ru
0bcc8286c0d5f70c85157ea285daab748b706843bd2179e14d130c48e235f230,0bcc8286c0d5f70c85157ea285daab748b706843bd2179e14d130c48e235f230,0bcc8286c0d5f70c85157ea285daab748b706843bd2179e14d130c48e235f230,,,,4929,283,2015-09-28,ru
fb8c9c183270bb99c709f65127424d7d4d7d8ec1c687d6f55fe731a4547b7293,fb8c9c183270bb99c709f65127424d7d4d7d8ec1c687d6f55fe731a4547b7293,fb8c9c183270bb99c709f65127424d7d4d7d8ec1c687d6f55fe731a4547b7293,USA,The only person you are destined to become is the person you decide to be.,,100,177,2013-09-14,en
f72b3e86fdf686f537a9929d8b2736ffc2e384c437a9aae718a1d1a4bbd9f9f2,f72b3e86fdf686f537a9929d8b2736ffc2e384c437a9aae718a1d1a4bbd9f9f2,f72b3e86fdf686f537a9929d8b2736ffc2e384c437a9aae718a1d1a4bbd9f9f2,Питер,Инкассатор :10 лет,,79,26,2013-12-08,en
f3dc1d33a7919b096373e8000ddf8102c1d7f51804319ac213e094791faa6d70,f3dc1d33a7919b096373e8000ddf8102c1d7f51804319ac213e094791faa6d70,f3dc1d33a7919b096373e8000ddf8102c1d7f51804319ac213e094791faa6d70,СПБ,"музыка,коллекционер очков со стажем)",,398,381,2013-12-11,ru
df6ab937d93fac60a3a274d6f346bd3f872eb9dec3101afea32b20007b01ef14,df6ab937d93fac60a3a274d6f346bd3f872eb9dec3101afea32b20007b01ef14,df6ab937d93fac60a3a274d6f346bd3f872eb9dec3101afea32b20007b01ef14,Москва ,"Инженер, гражданин, патриот, игрок. 18+",,3136,1979,2012-02-01,ru
722ba9079df2efa57b3138706f35d494bb9a6d562a4bbe62d600b2da64d82d4a,722ba9079df2efa57b3138706f35d494bb9a6d562a4bbe62d600b2da64d82d4a,722ba9079df2efa57b3138706f35d494bb9a6d562a4bbe62d600b2da64d82d4a,USA,You can never cross the ocean until you have the courage to lose sight of the shore.,,42,304,2014-06-04,en
d053207ba14a504d2c3eb7426b7aac8153afc3ead51b99d9bc46ca2bab161bff,d053207ba14a504d2c3eb7426b7aac8153afc3ead51b99d9bc46ca2bab161bff,d053207ba14a504d2c3eb7426b7aac8153afc3ead51b99d9bc46ca2bab161bff,,"I am doing myGreen Management, Energy and Corporate Social Responsibility",,2,6,2012-03-06,en
17ae6b4c13bc140467f693f2faf08da74c1061e129c2e0f0a683197d2096b80d,17ae6b4c13bc140467f693f2faf08da74c1061e129c2e0f0a683197d2096b80d,17ae6b4c13bc140467f693f2faf08da74c1061e129c2e0f0a683197d2096b80d,,Notes,,103,142,2013-08-22,en
ed7d14313f2bdc1e42da7cb5fe23982c26dc520634ebbffeaf925a88f7ce58ab,ed7d14313f2bdc1e42da7cb5fe23982c26dc520634ebbffeaf925a88f7ce58ab,ed7d14313f2bdc1e42da7cb5fe23982c26dc520634ebbffeaf925a88f7ce58ab,USA,"Life is not measured by the number of breaths we take, but by the moments that take our breath away.",,90,348,2014-06-17,en
8845477e608f36deabb38df17c0f2e04994bbf5ae149ff74633631decad09997,8845477e608f36deabb38df17c0f2e04994bbf5ae149ff74633631decad09997,8845477e608f36deabb38df17c0f2e04994bbf5ae149ff74633631decad09997,,,,257,277,2014-09-04,en
97a6644329f1f5fdd9d1a0e8be633498745fa5a72ec5f8ed256dbcdb91aeabd1,97a6644329f1f5fdd9d1a0e8be633498745fa5a72ec5f8ed256dbcdb91aeabd1,97a6644329f1f5fdd9d1a0e8be633498745fa5a72ec5f8ed256dbcdb91aeabd1,Москва,Менеджер по работе с клиентами,,293,283,2014-03-21,ru
